year;country;geo;category_key;category_label;product;prod_code;price_eur_tonne;avg_temp_c
2000;Bulgaria;BG;vegetables;Vegetables (fresh market/transplant);Tomatoes under glass: all qualities - prices per 100 kg;4122000;206,5;11,906833333333331
2000;Bulgaria;BG;vegetables;Vegetables (fresh market/transplant);Water melons - prices per 100 kg;4199914;134,8;11,906833333333331
2000;Bulgaria;BG;vegetables;Vegetables (fresh market/transplant);White cabbage: all qualities - prices per 100 kg;4191100;150,39999999999998;11,906833333333331
2000;Czechia;CZ;arable;Arable (cereals/oilseeds);Barley - prices per 100 kg;1300000;91,7;9,659
2000;Czechia;CZ;arable;Arable (cereals/oilseeds);Feed barley - prices per 100 kg;1310000;73,0;9,659
2000;Czechia;CZ;arable;Arable (cereals/oilseeds);Grapes for wine production - prices per 100 kg;6490000;382,5;9,659
2000;Czechia;CZ;arable;Arable (cereals/oilseeds);Maize - prices per 100 kg;1500000;98,8;9,659
2000;Czechia;CZ;arable;Arable (cereals/oilseeds);Malting barley - prices per 100 kg;1320000;102,6;9,659
2000;Czechia;CZ;arable;Arable (cereals/oilseeds);Oats - prices per 100 kg;1400000;106,3;9,659
2000;Czechia;CZ;arable;Arable (cereals/oilseeds);Rape - prices per 100 kg;2110000;173,5;9,659
2000;Czechia;CZ;arable;Arable (cereals/oilseeds);Rye - prices per 100 kg;1200000;76,10000000000001;9,659
2000;Czechia;CZ;arable;Arable (cereals/oilseeds);Soft wheat - prices per 100 kg;1110000;95,6;9,659
2000;Czechia;CZ;arable;Arable (cereals/oilseeds);Sunflowers - prices per 100 kg;2120000;215,2;9,659
2000;Czechia;CZ;industrial;Specialty industrial crops;Hops: all varieties - prices per 100 kg;2920000;3689,9;9,659
2000;Czechia;CZ;orchards;Orchards/Vineyards (perennial);Apricots: all varieties - prices per 100 kg;6199100;381,8;9,659
2000;Czechia;CZ;orchards;Orchards/Vineyards (perennial);Blackcurrants - prices per 100 kg;6199300;1146,2;9,659
2000;Czechia;CZ;orchards;Orchards/Vineyards (perennial);Dessert apples: all varieties - prices per 100 kg;6110000;196,8;9,659
2000;Czechia;CZ;orchards;Orchards/Vineyards (perennial);Dessert pears: all varieties - prices per 100 kg;6120000;185,5;9,659
2000;Czechia;CZ;orchards;Orchards/Vineyards (perennial);Peaches: all varieties - prices per 100 kg;6130000;323,1;9,659
2000;Czechia;CZ;orchards;Orchards/Vineyards (perennial);Plums: all varieties  - prices per 100 kg;6192000;305,5;9,659
2000;Czechia;CZ;orchards;Orchards/Vineyards (perennial);Strawberries: all types of production - prices per 100 kg;6193000;974,3;9,659
2000;Czechia;CZ;rowCrops;Row crops;Early potatoes - prices per 100 kg;5110000;198,0;9,659
2000;Czechia;CZ;rowCrops;Row crops;Main crop potatoes - prices per 100 kg;5120000;111,6;9,659
2000;Czechia;CZ;rowCrops;Row crops;Sugar beet: unit value - prices per 1000 kg;2400000;27,22;9,659
2000;Czechia;CZ;vegetables;Vegetables (fresh market/transplant);Capsicum (under glass) - prices per 100 kg;4199904;473,0;9,659
2000;Czechia;CZ;vegetables;Vegetables (fresh market/transplant);Carrots: all qualities - prices per 100 kg;4195000;145,5;9,659
2000;Czechia;CZ;vegetables;Vegetables (fresh market/transplant);Cauliflowers: all qualities - prices per 100 kg;4110000;330,5;9,659
2000;Czechia;CZ;vegetables;Vegetables (fresh market/transplant);Cucumbers in the open: all qualities - prices per 100 kg;4194100;379,3;9,659
