year,country,geo,category_key,category_label,product,prod_code,price_eur_tonne
2001,Netherlands,NL,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,3130.0
2001,Netherlands,NL,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,88.0
2001,Netherlands,NL,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,4640.7
2001,Poland,PL,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,223.79999999999998
2001,Poland,PL,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,2970.2999999999997
2001,Poland,PL,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,623.0
2001,Poland,PL,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,125.19999999999999
2001,Poland,PL,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,858.1
2001,Portugal,PT,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,769.3000000000001
2001,Portugal,PT,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,2992.7999999999997
2001,Portugal,PT,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,1816.6999999999998
2001,Portugal,PT,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,333.6
2001,Portugal,PT,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,2989.0
2001,Romania,RO,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,501.2
2001,Romania,RO,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,3091.7000000000003
2001,Romania,RO,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,1078.3
2001,Romania,RO,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,321.1
2001,Romania,RO,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,2193.4
2001,Sweden,SE,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,210.7
2001,Sweden,SE,orchards,Orchards/Vineyards (perennial),Strawberries in the open - prices per 100 kg,06193100,2273.6000000000004
2001,Sweden,SE,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,197.3
2001,Sweden,SE,vegetables,Vegetables (fresh market/transplant),Tomatoes under glass: all qualities - prices per 100 kg,04122000,1105.9
2001,Slovenia,SI,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,372.70000000000005
2001,Slovenia,SI,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,3211.6000000000004
2001,Slovenia,SI,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,2134.6
2001,Slovenia,SI,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,343.8
2001,Slovenia,SI,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,2262.6
2001,Slovakia,SK,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,278.09999999999997
2001,Slovakia,SK,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,3038.2999999999997
2001,Slovakia,SK,orchards,Orchards/Vineyards (perennial),Blackcurrants - prices per 100 kg,06199300,761.4
2001,Slovakia,SK,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,135.29999999999998
2001,Slovakia,SK,vegetables,Vegetables (fresh market/transplant),Lettuce in the open: all qualities - prices per 100 kg,04192100,511.5
2001,United Kingdom,UK,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,220.9
2001,United Kingdom,UK,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,5679.6
2001,United Kingdom,UK,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,10806.099999999999
2001,United Kingdom,UK,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,423.9
2001,United Kingdom,UK,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,7086.5
2002,Austria,AT,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,353.0
2002,Austria,AT,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,4416.7
2002,Austria,AT,orchards,Orchards/Vineyards (perennial),Apricots: all varieties - prices per 100 kg,06199100,2783.8
2002,Austria,AT,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,226.29999999999998
2002,Austria,AT,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,4534.1
